T:161|TOM subgroup #161 order 12|0|1,2,2,1,3,3,1,3,2,2,2,1,3,3,1,3,2,4,2,5,6,2,7,4,2,7,5,2,6,4,3,3,1,3,2,8,3,8,6,3,8,7,3,2,5
T:162|TOM subgroup #162 order 12|0|1,2,3,4,4,5,4,4,6,1,7,5,5,7,3,3,8,3,4,4,5,4,4,6,1,1,7,5,5,8,2,3,4,4,6,3,4,4,6,1,1,8,2,6,6
T:163|TOM subgroup #163 order 12|0|1,2,1,2,1,2,1,3,2,4,5,6,5,6,5,7,6,6,8,6,8,6,9,8,4,5,6,5,7,6,6,8,6,9,8,4,5,7,6,6,9,8,7,4,9
T:164|TOM subgroup #164 order 12|0|1,1,1,2,3,3,2,3,2,4,4,1,5,4,3,4,3,4,3,4,5,1,4,3,3,4,4,3,5,1,3,1,2,1,2,4,1,4,1,3,4,1,1,2,3
T:169|TOM subgroup #169 order 12|2|1,2,3,4,5,5,6,6,1,3,4,2,5,5,6,6,1,1,1,6,6,5,5,4,1,6,6,5,5,2,6,6,5,5,3,7,8,9,5,9,8,5,7,6,6
T:170|TOM subgroup #170 order 12|2|1,2,3,4,1,1,3,3,5,1,6,3,7,7,8,8,3,3,5,1,1,3,3,4,1,8,8,7,7,1,3,3,1,1,2,7,6,8,3,8,6,3,7,1,1
T:176|TOM subgroup #176 order 12|2|1,1,2,3,3,4,5,5,6,7,1,1,1,1,8,8,1,1,1,1,1,8,8,1,6,4,3,5,5,3,3,2,5,5,4,6,5,5,2,5,5,3,9,5,5
T:177|TOM subgroup #177 order 12|2|1,2,2,2,3,4,2,2,2,5,5,5,6,3,5,5,5,7,8,5,2,9,8,10,10,5,2,8,9,8,5,2,7,8,9,1,5,5,5,2,2,2,10,8,7
T:178|TOM subgroup #178 order 12|2|1,1,2,2,3,2,3,1,4,5,6,7,8,9,8,5,2,9,6,8,7,8,5,2,5,8,5,8,7,1,8,5,8,9,1,8,10,8,3,8,6,1,8,3,2
T:179|TOM subgroup #179 order 12|2|1,2,3,4,1,1,3,3,5,6,7,3,8,8,9,9,10,10,5,6,6,10,10,11,1,9,9,8,8,6,3,3,1,1,2,8,7,9,10,9,7,10,8,6,6
T:180|TOM subgroup #180 order 12|2|1,2,3,2,2,2,2,2,4,5,6,5,5,5,5,5,3,5,7,8,8,9,9,2,5,5,5,5,5,1,9,9,8,8,2,8,7,9,2,9,7,2,8,2,2
T:181|TOM subgroup #181 order 12|2|1,2,2,2,3,2,4,2,2,5,5,5,6,5,3,5,5,7,8,5,8,2,7,9,7,5,9,2,8,8,5,8,2,9,7,5,1,5,5,2,7,7,2,2,8
T:182|TOM subgroup #182 order 12|2|1,1,1,2,1,1,1,3,3,4,5,1,6,4,5,7,7,5,1,5,4,6,7,7,1,4,6,4,7,7,1,1,1,3,3,5,4,7,7,5,7,7,7,7,8
T:183|TOM subgroup #183 order 12|2|1,2,3,4,5,3,6,2,4,5,7,1,8,7,5,5,1,3,2,1,3,4,4,6,3,7,9,3,3,3,5,3,2,6,4,7,1,1,5,3,3,3,4,2,2
T:184|TOM subgroup #184 order 12|2|1,2,1,3,2,2,3,3,4,5,6,5,5,5,5,5,1,5,7,8,8,9,9,3,5,5,5,5,5,1,9,9,8,8,2,8,7,9,3,9,7,3,8,2,2
T:187|TOM subgroup #187 order 12|2|1,2,3,4,5,6,3,7,6,1,8,1,9,1,8,1,1,3,6,5,4,3,6,7,3,10,3,11,3,3,5,7,3,6,2,5,10,5,5,3,2,6,3,3,4
T:188|TOM subgroup #188 order 12|2|1,2,1,3,4,5,4,6,7,2,1,3,4,4,5,6,7,2,8,2,2,2,8,9,3,5,4,4,6,7,6,6,6,10,11,1,1,3,7,1,3,7,3,7,11
T:189|TOM subgroup #189 order 12|2|1,2,2,3,4,4,5,5,6,7,7,1,1,1,1,1,8,9,2,2,2,2,2,10,2,2,2,2,2,10,5,5,4,4,6,4,5,3,6,3,5,6,4,6,6
T:190|TOM subgroup #190 order 12|2|1,2,2,3,4,4,5,5,6,7,7,1,1,1,1,1,8,9,2,2,2,2,2,10,2,2,2,2,2,10,5,5,4,4,6,4,5,3,6,3,5,6,4,6,6
T:191|TOM subgroup #191 order 12|2|1,2,3,1,1,2,3,4,1,5,1,6,7,8,1,9,10,2,8,8,11,2,12,5,1,1,2,3,4,1,10,5,1,9,7,5,1,9,6,2,12,8,4,1,9
T:192|TOM subgroup #192 order 12|2|1,2,3,2,4,5,6,2,7,2,3,2,5,4,6,2,7,8,9,2,2,8,9,10,8,6,6,11,8,12,2,2,8,9,10,1,3,2,7,3,2,7,8,12,10
T:193|TOM subgroup #193 order 12|2|1,2,1,2,3,3,3,3,4,4,1,2,3,3,3,3,2,2,5,6,6,6,6,5,4,3,3,3,3,2,6,6,6,6,5,7,8,9,6,9,8,6,7,6,6
