n,s,s_over_n,shape,config
184,83,0.451087,S3,1x101 + 83* (q=41)
185,37,0.200000,S2,5x37
186,83,0.446237,S3,1x103 + 83* (q=41)
187,59,0.315508,S7f2,2x64 + 59* (q=29)
188,81,0.430851,S3,1x81 + 107* (q=53)
189,53,0.280423,S7f2,2x53 + 83* (q=41)
190,83,0.436842,S3,1x83 + 107* (q=53)
191,191,1.000000,S1,"AGL(1,191)"
192,83,0.432292,S3,1x109 + 83* (q=41)
193,193,1.000000,S1,"AGL(1,193)"
194,97,0.500000,S2,2x97
195,37,0.189744,S7f4,4x37 + 47* (q=23)
196,89,0.454082,S3,1x89 + 107* (q=53)
197,197,1.000000,S1,"AGL(1,197)"
198,59,0.297980,S3,1x139 + 59* (q=29)
199,199,1.000000,S1,"AGL(1,199)"
200,47,0.235000,S7f3,3x47 + 59* (q=29)
201,67,0.333333,S2,3x67
202,101,0.500000,S2,2x101
203,32,0.157635,S7f3,3x32 + 107* (q=53)
204,97,0.475490,S3,1x97 + 107* (q=53)
205,61,0.297561,S7f2,2x61 + 83* (q=41)
206,103,0.500000,S2,2x103
207,37,0.178744,S7f4,4x37 + 59* (q=29)
208,101,0.485577,S3,1x101 + 107* (q=53)
209,47,0.224880,S7f2,2x81 + 47* (q=23)
210,103,0.490476,S3,1x103 + 107* (q=53)
211,211,1.000000,S1,"AGL(1,211)"
212,53,0.250000,S2,4x53
213,71,0.333333,S2,3x71
214,107,0.500000,S2,2x107
215,43,0.200000,S2,5x43
216,107,0.495370,S3,1x109 + 107* (q=53)
217,67,0.308756,S7f2,2x67 + 83* (q=41)
218,109,0.500000,S2,2x109
219,73,0.333333,S2,3x73
220,107,0.486364,S3,1x113 + 107* (q=53)
221,59,0.266968,S7f2,2x81 + 59* (q=29)
222,83,0.373874,S3,1x139 + 83* (q=41)
223,223,1.000000,S1,"AGL(1,223)"
224,61,0.272321,S3,1x61 + 163* (q=3)
225,71,0.315556,S7f2,2x71 + 83* (q=41)
226,113,0.500000,S2,2x113
227,227,1.000000,S1,"AGL(1,227)"
228,107,0.469298,S3,1x121 + 107* (q=53)
229,229,1.000000,S1,"AGL(1,229)"
230,67,0.291304,S3,1x67 + 163* (q=3)
231,64,0.277056,S3,1x64 + 167* (q=83)
232,107,0.461207,S3,1x125 + 107* (q=53)
233,233,1.000000,S1,"AGL(1,233)"
234,107,0.457265,S3,1x127 + 107* (q=53)
235,107,0.455319,S3,1x128 + 107* (q=53)
236,73,0.309322,S3,1x73 + 163* (q=3)
237,79,0.333333,S2,3x79
238,107,0.449580,S3,1x131 + 107* (q=53)
239,239,1.000000,S1,"AGL(1,239)"
240,83,0.345833,S3,1x157 + 83* (q=41)
241,241,1.000000,S1,"AGL(1,241)"
242,121,0.500000,S2,2x121
243,243,1.000000,S1,"AGL(1,243)"
244,107,0.438525,S3,1x137 + 107* (q=53)
245,81,0.330612,S7f2,2x81 + 83* (q=41)
246,107,0.434959,S3,1x139 + 107* (q=53)
247,47,0.190283,S7f4,4x47 + 59* (q=29)
248,81,0.326613,S3,1x81 + 167* (q=83)
249,83,0.333333,S2,3x83
250,125,0.500000,S2,2x125
251,251,1.000000,S1,"AGL(1,251)"
252,89,0.353175,S3,1x89 + 163* (q=3)
253,73,0.288538,S7f2,2x73 + 107* (q=53)
254,127,0.500000,S2,2x127
255,49,0.192157,S7f4,4x49 + 59* (q=29)
256,256,1.000000,S1,"AGL(1,256)"
257,257,1.000000,S1,"AGL(1,257)"
258,107,0.414729,S3,1x151 + 107* (q=53)
259,47,0.181467,S7f4,4x53 + 47* (q=23)
260,97,0.373077,S3,1x97 + 163* (q=3)
261,83,0.318008,S7f2,2x89 + 83* (q=41)
262,131,0.500000,S2,2x131
263,263,1.000000,S1,"AGL(1,263)"
264,107,0.405303,S3,1x157 + 107* (q=53)
265,79,0.298113,S7f2,2x79 + 107* (q=53)
