n,C(n3),b3_census,delta3,witness
1969,1270351544,258121,0.00020319,"2x625 + 1x719* (m=1, q=359, t=359)"
1970,1272289040,196747,0.00015464,"1x883 + 1x1087* (m=1, q=181, t=181)"
1971,1274228505,261632,0.00020533,"1x512 + 1x1459* (m=1, q=3, t=729)"
1972,1276169940,453628,0.00035546,"1x953 + 1x1019* (m=1, q=509, t=509)"
1974,1280058724,392941,0.00030697,"1x1087 + 1x887* (m=1, q=443, t=443)"
1975,1282006075,171991,0.00013416,"4x347 + 1x587* (m=1, q=293, t=293)"
1976,1283955400,258121,0.00020104,"3x419 + 1x719* (m=1, q=359, t=359)"
1977,1285906700,650433,0.00050582,3x659 (m=1)
1978,1287859976,392941,0.00030511,"1x1091 + 1x887* (m=1, q=443, t=443)"
1980,1291772460,392941,0.00030419,"1x1093 + 1x887* (m=1, q=443, t=443)"
1981,1293731670,258121,0.00019952,"2x631 + 1x719* (m=1, q=359, t=359)"
1982,1295692860,654060,0.00050480,2x991 (m=1)
1983,1297656031,436260,0.00033619,3x661 (m=1)
1984,1299621184,392941,0.00030235,"1x1097 + 1x887* (m=1, q=443, t=443)"
1985,1301588320,262020,0.00020131,5x397 (m=1)
1986,1303557440,371953,0.00028534,"1x1123 + 1x863* (m=1, q=431, t=431)"
1988,1307501636,219459,0.00016785,"3x383 + 1x839* (m=1, q=419, t=419)"
1989,1309476714,316406,0.00024163,"2x563 + 1x863* (m=1, q=431, t=431)"
1990,1311453780,470935,0.00035909,"1x971 + 1x1019* (m=1, q=509, t=509)"
1991,1313432835,146304,0.00011139,"9x128 + 1x839* (m=1, q=419, t=419)"
1992,1315413880,371953,0.00028276,"1x1129 + 1x863* (m=1, q=431, t=431)"
1994,1319381944,662008,0.00050176,2x997 (m=1)
1995,1321368965,195806,0.00014818,"2x443 + 1x1109* (m=1, q=277, t=277)"
1996,1323357980,482653,0.00036472,"1x1013 + 1x983* (m=1, q=491, t=491)"
1998,1327341996,258121,0.00019446,"1x1279 + 1x719* (m=1, q=359, t=359)"
2000,1331334000,179747,0.00013501,"1x961 + 1x1039* (m=1, q=173, t=173)"
